workclass: State-gov, precision: 0.8136645962732919, recall: 0.7616279069767442, fbeta_scoree: 0.7867867867867868
workclass: Self-emp-not-inc, precision: 0.8950495049504951, recall: 0.6330532212885154, fbeta_scoree: 0.7415914684167351
workclass: Private, precision: 0.8465266558966075, recall: 0.6447908121410992, fbeta_scoree: 0.7320139697322467
workclass: Federal-gov, precision: 0.8477011494252874, recall: 0.8082191780821918, fbeta_scoree: 0.8274894810659187
workclass: Local-gov, precision: 0.8151571164510166, recall: 0.7241379310344828, fbeta_scoree: 0.7669565217391304
workclass: Self-emp-inc, precision: 0.8593220338983051, recall: 0.845, fbeta_scoree: 0.8521008403361345
workclass: Without-pay, precision: 1.0, recall: 1.0, fbeta_scoree: 1.0
education: Bachelors, precision: 0.8166376306620209, recall: 0.8819379115710254, fbeta_scoree: 0.8480325644504749
education: HS-grad, precision: 0.8845553822152886, recall: 0.35064935064935066, fbeta_scoree: 0.5022143489813995
education: 11th, precision: 1.0, recall: 0.3728813559322034, fbeta_scoree: 0.54320987654321
education: Masters, precision: 0.8650875386199794, recall: 0.9150326797385621, fbeta_scoree: 0.8893594494441504
education: 9th, precision: 1.0, recall: 0.16, fbeta_scoree: 0.2758620689655173
education: Some-college, precision: 0.8325740318906606, recall: 0.5471556886227545, fbeta_scoree: 0.6603432700993678
education: Assoc-acdm, precision: 0.8492462311557789, recall: 0.66015625, fbeta_scoree: 0.7428571428571428
education: 7th-8th, precision: 0.875, recall: 0.2, fbeta_scoree: 0.32558139534883723
education: Doctorate, precision: 0.8778877887788779, recall: 0.95, fbeta_scoree: 0.9125214408233275
education: Assoc-voc, precision: 0.8326180257510729, recall: 0.563953488372093, fbeta_scoree: 0.6724436741767763
education: Prof-school, precision: 0.9145496535796767, recall: 0.9753694581280788, fbeta_scoree: 0.9439809296781884
education: 5th-6th, precision: 0.8, recall: 0.3333333333333333, fbeta_scoree: 0.47058823529411764
education: 10th, precision: 1.0, recall: 0.288135593220339, fbeta_scoree: 0.4473684210526315
education: Preschool, precision: 0.0, recall: 1.0, fbeta_scoree: 0.0
education: 12th, precision: 1.0, recall: 0.27586206896551724, fbeta_scoree: 0.4324324324324324
education: 1st-4th, precision: 1.0, recall: 0.16666666666666666, fbeta_scoree: 0.2857142857142857
marital-status: Never-married, precision: 0.9491525423728814, recall: 0.4765957446808511, fbeta_scoree: 0.6345609065155808
marital-status: Married-civ-spouse, precision: 0.8363769174579986, recall: 0.7157368338802937, fbeta_scoree: 0.7713684210526316
marital-status: Divorced, precision: 0.9495412844036697, recall: 0.4579646017699115, fbeta_scoree: 0.617910447761194
marital-status: Married-spouse-absent, precision: 1.0, recall: 0.45161290322580644, fbeta_scoree: 0.6222222222222222
marital-status: Separated, precision: 1.0, recall: 0.6060606060606061, fbeta_scoree: 0.7547169811320755
marital-status: Married-AF-spouse, precision: 1.0, recall: 0.3, fbeta_scoree: 0.4615384615384615
marital-status: Widowed, precision: 1.0, recall: 0.4125, fbeta_scoree: 0.5840707964601769
occupation: Adm-clerical, precision: 0.8271954674220963, recall: 0.5863453815261044, fbeta_scoree: 0.6862514688601644
occupation: Exec-managerial, precision: 0.8538653366583541, recall: 0.8838409912235415, fbeta_scoree: 0.8685946220192795
